RAZAO SOCIAL;Nome para Indicador
ALPHA ASSEMBLY SOLUTIONS BRASIL SOLDAS LTDA;ALPHA ASSEMBLY
ALPHA CARGO - ALPHA CARGO TRANSPORTES LTDA ME;ALPHA CARGO TRANSPORTES LTDA ME
ALPHA CENTAURUS - ALPHA CENTAURUS COMERCIAL IMPORTADORA E EXPORTADORA LTDA;ALPHA CENTAURUS COMERCIAL IMPORTADORA E EXPORTADORA LTDA
ALSTOM - ALSTOM BRASIL ENERGIA E TRANSPORTE LTDA;ALSTOM ENERGIAS RENOVAVEIS LTDA.
ALSTOM ENERGIAS RENOVAVEIS LTDA.;ALSTOM ENERGIAS RENOVAVEIS LTDA.
ALSTOM GRID ENERGIA LTDA;ALSTOM ENERGIAS RENOVAVEIS LTDA.
ALTHAIA S.A. INDUSTRIA FARMACEUTICA;ALTHAIA S.A. INDUSTRIA FARMACEUTICA
ALTONA DIAGNOSTIC BRASIL LTDA;ALTONA DIAGNOSTIC BRASIL
ALTUS SISTEMAS DE AUTOMAÇÃO AS;ALTUS SISTEMAS DE AUTOMAÇÃO AS
ALTUS SISTEMAS DE AUTOMAÇÃO AS - ALTUS SISTEMAS DE AUTOMACAO S/A;ALTUS SISTEMAS DE AUTOMAÇÃO AS
AMANDA GINEBRO        - AMANDA GINEBRO     ;AMANDA GINEBRO        - AMANDA GINEBRO     
AMANDA SOSSAI DE MENEZES;AMANDA SOSSAI DE MENEZES
AMANN GIRRBACH - AMANN GIRRBACH BRASIL COMERCIO E DISTRIBUICAO DE EQUIPAMENTOS E PRODUTOS DE USINAGEM LTDA;AMANN GIRRBACH 
AMAPA FLORESTAL - AMCEL - AMAPA FLORESTAL E CELULOSE S.A.; AMCEL - AMAPA FLORESTAL E CELULOSE S.A.
AMARO TRANSPORTES - AMARO TRANSPORTES E LOGISTICA LTDA ;AMARO TRANSPORTES - AMARO TRANSPORTES E LOGISTICA LTDA 
AMAZON FREIGHT FORWARDERS - AMAZON LOGISTICA INTERNACIONAL LTDA EPP;AMAZON FREIGHT FORWARDERS - AMAZON LOGISTICA INTERNACIONAL LTDA EPP
